date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:34:35	60457/60457	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20May%202017%2020:17:32%20GMT	https://adtechapp.000webhostapp.com/gallery_gen//63d37b93556f568fcb7877016f7e6ede_649x317.jpg	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/gallery_gen/63d37b93556f568fcb7877016f7e6ede_649x317.jpg	(from https://adtechapp.000webhostapp.com/)
13:34:35	21514/21514	---M--	200	added ('OK')	image/png	etag:%2213b47b3dbeec4d7ad95fd2a68b62687a%22	https://cloud.githubusercontent.com/assets/23024110/20663010/9968df22-b55e-11e6-941d-edbc894c2b78.png	C:/My%20Web%20Sites/zyro_sw/cloud.githubusercontent.com/assets/23024110/20663010/9968df22-b55e-11e6-941d-edbc894c2b78.png	(from https://adtechapp.000webhostapp.com/)
13:34:38	8459/8459	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20May%202017%2020:34:34%20GMT	https://adtechapp.000webhostapp.com/IoT-components/	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/IoT-components/index.html	(from https://adtechapp.000webhostapp.com/)
13:34:38	7381/7381	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20May%202017%2020:34:34%20GMT	https://adtechapp.000webhostapp.com/Accessing-IoT/	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/Accessing-IoT/index.html	(from https://adtechapp.000webhostapp.com/)
13:34:38	5867/5867	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20May%202017%2020:34:34%20GMT	https://adtechapp.000webhostapp.com/Reference/	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/Reference/index.html	(from https://adtechapp.000webhostapp.com/)
13:34:38	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20May%202017%2020:17:22%20GMT	https://adtechapp.000webhostapp.com/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/fonts/glyphicons-halflings-regular.eot	(from https://adtechapp.000webhostapp.com/css/bootstrap.min.css)
13:34:38	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20May%202017%2020:17:22%20GMT	https://adtechapp.000webhostapp.com/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/fonts/glyphicons-halflings-regulard41d.eot	(from https://adtechapp.000webhostapp.com/css/bootstrap.min.css)
13:34:38	18028/18028	---M--	200	added ('OK')	text/html	date:Mon,%2022%20May%202017%2020:17:23%20GMT	https://adtechapp.000webhostapp.com/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/fonts/glyphicons-halflings-regular.html	(from https://adtechapp.000webhostapp.com/css/bootstrap.min.css)
13:34:39	23424/23424	---M--	200	added ('OK')	application/font-woff	date:Mon,%2022%20May%202017%2020:17:23%20GMT	https://adtechapp.000webhostapp.com/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/fonts/glyphicons-halflings-regular.woff	(from https://adtechapp.000webhostapp.com/css/bootstrap.min.css)
13:34:39	45404/45404	---M--	200	added ('OK')	application/font-sfnt	date:Mon,%2022%20May%202017%2020:17:23%20GMT	https://adtechapp.000webhostapp.com/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/fonts/glyphicons-halflings-regular.ttf	(from https://adtechapp.000webhostapp.com/css/bootstrap.min.css)
13:34:39	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2022%20May%202017%2020:17:22%20GMT	https://adtechapp.000webhostapp.com/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/fonts/glyphicons-halflings-regular.svg	(from https://adtechapp.000webhostapp.com/css/bootstrap.min.css)
13:34:40	150920/150920	---M--	200	added ('OK')	application/font-sfnt	date:Mon,%2022%20May%202017%2020:17:39%20GMT	https://adtechapp.000webhostapp.com/css/fonts/fontawesome-webfont.ttf	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/css/fonts/fontawesome-webfont.ttf	(from https://adtechapp.000webhostapp.com/css/site.css?v=1.1.49)
13:34:40	604/604	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202017%2020:34:39%20GMT	https://adtechapp.000webhostapp.com/img/gallery.empty.gif	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/img/gallery.empty.gif	(from https://adtechapp.000webhostapp.com/css/site.css?v=1.1.49)
13:34:40	604/604	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202017%2020:34:39%20GMT	https://adtechapp.000webhostapp.com/img/gallery.left.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/img/gallery.left.png	(from https://adtechapp.000webhostapp.com/css/site.css?v=1.1.49)
13:34:40	604/604	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202017%2020:34:39%20GMT	https://adtechapp.000webhostapp.com/img/gallery.right.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/img/gallery.right.png	(from https://adtechapp.000webhostapp.com/css/site.css?v=1.1.49)
13:34:41	604/604	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202017%2020:34:40%20GMT	https://adtechapp.000webhostapp.com/img/gallery.left_h.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/img/gallery.left_h.png	(from https://adtechapp.000webhostapp.com/css/site.css?v=1.1.49)
13:34:41	604/604	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202017%2020:34:40%20GMT	https://adtechapp.000webhostapp.com/img/gallery.right_h.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/img/gallery.right_h.png	(from https://adtechapp.000webhostapp.com/css/site.css?v=1.1.49)
13:34:41	727444/727444	---M--	200	added ('OK')	application/font-sfnt	date:Mon,%2022%20May%202017%2020:17:40%20GMT	https://adtechapp.000webhostapp.com/css/fonts/Capture%20it.ttf	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/css/fonts/Capture%20it.ttf	(from https://adtechapp.000webhostapp.com/css/site.css?v=1.1.49)
13:34:41	604/604	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202017%2020:34:40%20GMT	https://adtechapp.000webhostapp.com/img/icon-logo.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/img/icon-logo.png	(from https://adtechapp.000webhostapp.com/css/site.css?v=1.1.49)
13:34:41	604/604	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202017%2020:34:40%20GMT	https://adtechapp.000webhostapp.com/img/flags_matrix.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/img/flags_matrix.png	(from https://adtechapp.000webhostapp.com/css/site.css?v=1.1.49)
13:34:41	604/604	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202017%2020:34:40%20GMT	https://adtechapp.000webhostapp.com/img/store-arrow.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/img/store-arrow.png	(from https://adtechapp.000webhostapp.com/css/site.css?v=1.1.49)
13:34:42	11023/11023	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20May%202017%2020:17:33%20GMT	https://adtechapp.000webhostapp.com/gallery_gen/d965dffa31084817a675f6241fb834f5.jpg	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/gallery_gen/d965dffa31084817a675f6241fb834f5.jpg	(from https://adtechapp.000webhostapp.com/css/1.css?ts=1495483675)
13:34:42	248068/248068	---M--	200	added ('OK')	image/png	date:Mon,%2022%20May%202017%2020:17:33%20GMT	https://adtechapp.000webhostapp.com/gallery_gen/804f3ccf25943e817e83739e7cc4a661.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/gallery_gen/804f3ccf25943e817e83739e7cc4a661.png	(from https://adtechapp.000webhostapp.com/css/1.css?ts=1495483675)
13:34:42	4278/4278	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20May%202017%2020:17:20%20GMT	https://adtechapp.000webhostapp.com/css/4.css?ts=1495483675	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/css/422d9.css	(from https://adtechapp.000webhostapp.com/Introduction/)
13:34:42	4602/4602	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20May%202017%2020:17:20%20GMT	https://adtechapp.000webhostapp.com/css/5.css?ts=1495483675	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/css/522d9.css	(from https://adtechapp.000webhostapp.com/how-it-works/)
13:34:43	53482/53482	---M--	200	added ('OK')	image/png	date:Mon,%2022%20May%202017%2020:17:33%20GMT	https://adtechapp.000webhostapp.com/gallery_gen//99de300ad3e08ae45cd12a59051935ef_560x270.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/gallery_gen/99de300ad3e08ae45cd12a59051935ef_560x270.png	(from https://adtechapp.000webhostapp.com/how-it-works/)
13:34:43	144840/144840	---M--	200	added ('OK')	image/png	date:Mon,%2022%20May%202017%2020:17:31%20GMT	https://adtechapp.000webhostapp.com/gallery_gen//45db8cf74d20e478f0ec812f96fe387c_1000x585.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/gallery_gen/45db8cf74d20e478f0ec812f96fe387c_1000x585.png	(from https://adtechapp.000webhostapp.com/how-it-works/)
13:34:43	4604/4604	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20May%202017%2020:17:20%20GMT	https://adtechapp.000webhostapp.com/css/6.css?ts=1495483675	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/css/622d9.css	(from https://adtechapp.000webhostapp.com/IoT-components/)
13:34:43	62096/62096	---M--	200	added ('OK')	image/png	date:Mon,%2022%20May%202017%2020:17:32%20GMT	https://adtechapp.000webhostapp.com/gallery_gen//8a42a3b72953b8dc09ebcdde5f806291_560x270.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/gallery_gen/8a42a3b72953b8dc09ebcdde5f806291_560x270.png	(from https://adtechapp.000webhostapp.com/IoT-components/)
13:34:44	125776/125776	---M--	200	added ('OK')	image/png	date:Mon,%2022%20May%202017%2020:17:34%20GMT	https://adtechapp.000webhostapp.com/gallery_gen//db989ab117c62ffb574596aa9d0f9a8e_790x350.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/gallery_gen/db989ab117c62ffb574596aa9d0f9a8e_790x350.png	(from https://adtechapp.000webhostapp.com/IoT-components/)
13:34:44	4306/4306	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20May%202017%2020:17:20%20GMT	https://adtechapp.000webhostapp.com/css/7.css?ts=1495483675	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/css/722d9.css	(from https://adtechapp.000webhostapp.com/Accessing-IoT/)
13:34:44	3664/3664	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20May%202017%2020:17:20%20GMT	https://adtechapp.000webhostapp.com/css/2.css?ts=1495483675	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/css/222d9.css	(from https://adtechapp.000webhostapp.com/Reference/)
13:34:44	604/604	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202017%2020:34:43%20GMT	https://adtechapp.000webhostapp.com/img/hlight_bg.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/img/hlight_bg.png	(from https://adtechapp.000webhostapp.com/css/site.css?v=1.1.49)
13:34:45	604/604	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202017%2020:34:44%20GMT	https://adtechapp.000webhostapp.com/css/gallery/vintage_footer.jpg	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/css/gallery/vintage_footer.jpg	(from https://adtechapp.000webhostapp.com/css/4.css?ts=1495483675)
13:34:45	117124/117124	---M--	200	added ('OK')	image/png	date:Mon,%2022%20May%202017%2020:17:31%20GMT	https://adtechapp.000webhostapp.com/gallery_gen/031a511a53ecafd97295833f36c013fe.png	C:/My%20Web%20Sites/zyro_sw/adtechapp.000webhostapp.com/gallery_gen/031a511a53ecafd97295833f36c013fe.png	(from https://adtechapp.000webhostapp.com/css/4.css?ts=1495483675)
